model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp,peak_signal_noise_ratio
multivariate_LR_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.781648465124573e-05,0.1880791841611332,0.5492846746762682,0.0005836411,0.011408859,0.0088748755,2514626500000.0,06-07-2023_12-39-30,
"multivariate_NN_layers50-500_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 500 epochs, lr=0.001)",5.630651060496719e-05,-4.3977900976733535,-2.3306198691466955,0.0001863778015831,0.0083710271865129,0.0055456385016441,1736906768384.0,06-07-2023_16-46-55,
univariate_approxGP_32fourier-components_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,6.238078197037209e-07,0.4468941441093673,0.4482032060623169,0.0006363639258779,0.0130764534696936,0.0080350283533334,1649041080320.0,06-07-2023_17-12-48,
univariate_DT_max-depthNone_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.8791679654499053e-07,0.6917316879037438,0.6950547896931221,0.0003546712610034,0.0087728489532625,0.0040546865202486,1403531607247.2202,07-07-2023_10-07-34,
univariate_LR_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,6.28704219419093e-09,0.1676804213605145,0.1708965301513672,0.0009576064185239,0.0151744913309812,0.0084388647228479,1523061096448.0,07-07-2023_10-26-16,
"univariate_NeRF_64fourier-features_layers128-256-32_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.01)",7.293968336699059e-06,0.7015981195789418,0.7016127109527588,0.000343319348758,0.008307259529829,0.0035775369033217,1250389786624.0,07-07-2023_17-28-49,
"univariate_NN_layers50-250_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=1e-05)",5.332888523677068e-06,0.689258254864844,0.6923755407333374,0.0003575171285774,0.0088275605812668,0.0040939608588814,1405980246016.0,08-07-2023_12-04-43,
"univariate_NeRF_256fourier-features_layers256-256-256_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.0001)",6.546668694693094e-06,0.9012580343503608,0.903282105922699,0.0001136053251684,0.0052625094540417,0.0025541593786329,651423973376.0,29-07-2023_00-53-00,39.446013109042646
univariate_DT_max-depth20_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.1632757886680422e-07,0.7993126078686946,0.7995064181889949,0.00023089642250509427,0.006430153534557039,0.00260445439036832,1229367095414.4207,29-07-2023_11-29-35,36.365827959625676
