model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,peak_signal_noise_ratio,timestamp
univariate_DT_max-depth5_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.4551733801891277e-08,0.6337014735739733,0.6337017825067586,0.0004554308686351,0.0088509314751238,0.0034340702975485,472638496404.488,33.41577536690671,29-07-2023_15-05-49
univariate_DT_max-depth10_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,2.7729887757208443e-08,0.9322705150082572,0.9322705721306777,8.421027101299897e-05,0.003345600375347,0.0011789638125888,1194541719.9537156,40.74634934958444,29-07-2023_15-06-24
univariate_DT_max-depth15_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,5.362392100807908e-08,0.9885787159229156,0.9885787255555208,1.4200453872711182e-05,0.0011992025259088,0.0003557540051643,0.8331342678098729,48.47697774542024,29-07-2023_15-07-02
univariate_DT_max-depth20_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.0488512502475221e-07,0.9990455502038286,0.9990455510088028,1.1866984669039666e-06,0.0002793622685099,3.7746503949165344e-05,0.0375534634066606,59.25659618699705,29-07-2023_15-08-14
univariate_DT_max-depthNone_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.8275240073343375e-07,0.9999999999999996,0.9999999999999996,4.234988311742193e-19,3.1975418829808217e-11,0.0,0.0067387204805897,183.7314778395261,29-07-2023_15-09-04
univariate_DT_max-depth5_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,2.1373982888480927e-08,0.7941688976243455,0.7941690444054754,0.0001870359639956,0.0063987459922418,0.0030341626497334,21.05091787479192,37.28074877617938,29-07-2023_15-24-02
univariate_DT_max-depth10_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,2.557155432809105e-08,0.9599155579121496,0.9599155864969438,3.642419527757094e-05,0.0025816454357972,0.0010639809061137,0.8145808940004007,44.3861003435196,29-07-2023_15-24-24
univariate_DT_max-depth15_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,4.553748781465073e-08,0.992383131040125,0.9923831364718242,6.9213467357263705e-06,0.0010604954559469,0.000388336320452,0.0815567720620097,51.59809393550651,29-07-2023_15-24-53
univariate_DT_max-depth20_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.25284595512347e-07,0.9989088572616852,0.998908858039795,9.91506781832501e-07,0.0003730499283716,0.0001072990541745,0.0199143256807209,60.03704310906627,29-07-2023_15-25-24
