epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.000570227418825115,0.022390436848456208,0.000391547668083204,0.016351793478384162
1,0.0003584148324761455,0.01815427280488339,0.0003357057796132391,0.014985065648727345
2,0.0003254297600942664,0.01731736400181597,0.00031852364910292004,0.014530222789581979
3,0.0003052150022386658,0.016719888786023315,0.0003002798182261,0.014080741386296171
4,0.0002937581055554223,0.016382040753283283,0.0002903779601833914,0.013787389538730635
5,0.0002873828471373682,0.01624320018223741,0.0002853445491828924,0.013654391718181697
6,0.0002812743254577402,0.01609065401825038,0.00027972687228060696,0.013534247208047996
7,0.00027760288332832385,0.01593480123579502,0.0002758666525518162,0.013410421388618874
8,0.00027429820990602656,0.01589548001302914,0.0002742272252770349,0.013372273061876045
9,0.0002718335940841247,0.01577338020503521,0.0002704715422640385,0.013276148309761827
10,0.0002682768794210543,0.015681611733003097,0.00026619699262510316,0.01316246331979831
11,0.0002629436107394709,0.015564244673333385,0.00026177750022752936,0.01304408884466146
12,0.00026003681467740204,0.01542392445626584,0.0002575015264758831,0.012933889562546303
13,0.000255578726866092,0.015329954368824308,0.00025514696613589133,0.012880311483009294
14,0.00025444389319851654,0.015242515981197358,0.00025016692672634786,0.012755799563319395
15,0.0002478430286811834,0.015110133817927404,0.0002463989297244883,0.012671655913758458
16,0.000245716920474396,0.01501677133617076,0.0002453542490448771,0.012637732000739286
17,0.00023919443470499986,0.014811188464814967,0.00023127089092282184,0.012304722505311172
18,0.000230560810347511,0.014568763647567142,0.00022878763804879836,0.012238406174900856
19,0.00022680944884301757,0.014455125130712987,0.0002263745861041984,0.012175671528799064
20,0.00022596331321454437,0.014462812614034523,0.0002255093582987849,0.012149660472729893
21,0.00022390476820344866,0.014354897746985609,0.00022395252893781588,0.01210670484286366
22,0.0002236138605644969,0.014366014080291445,0.000223340945703967,0.012075753811408173
23,0.0002230755456839688,0.014305293011394413,0.0002227167485927401,0.012058701792336774
24,0.00022213782846599564,0.014258810076862574,0.00022179494034472473,0.0120384882091347
25,0.00022150006077241744,0.01425502262738618,0.0002213626785939568,0.012029714698367047
26,0.00022104401128176092,0.014284740264442835,0.00022074075449960548,0.012005289336948683
27,0.0002206008062189953,0.01427130450443788,0.0002206173198046048,0.012002697619186205
28,0.00021903110422532668,0.014180396722798997,0.00021751989331801958,0.01191664079937971
29,0.00021682623179036787,0.014119318396530368,0.0002164688567686288,0.011890916636382991
30,0.00021630222495348954,0.014132731745866212,0.00021603439715446173,0.011877949339986751
31,0.00021562314096742986,0.014070780565792864,0.0002155802323068201,0.011862520440058274
32,0.00021538103692794473,0.014084715084934776,0.00021512642126198802,0.011846121399465835
33,0.0002150983649348332,0.014085981940681284,0.00021504789613820984,0.011845630081652693
34,0.00021453327088701455,0.014035459374162285,0.00021422765952758545,0.011815178717740557
35,0.0002138766151461327,0.014000379149209369,0.000213289598708467,0.011787084172282254
36,0.00021324045163452287,0.01398233667964285,0.00021347150318516385,0.01179143888932286
37,0.00021199941833302462,0.013977950163185596,0.00020766497994124868,0.01164082435100819
38,0.00020736860697136513,0.013785541328516874,0.00020731259977489544,0.011628790491571029
