epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.0028611228526966978,0.05271450545667678,0.0020615863093976367,0.04259744180842887
1,0.0015399388348062834,0.0382464316233184,0.001424763452120905,0.033263530019064284
2,0.0011569989175091737,0.03267011925462605,0.0012009565355689373,0.02928255563385265
3,0.0010079464930436365,0.030109751715447552,0.0010923165275693633,0.0272634964089754
4,0.0009280414256229347,0.028741727288552496,0.0010223523700111654,0.026104769942372343
5,0.0008717323440874298,0.027991714573992316,0.0009627087070162646,0.02532118876832862
6,0.0008271398081880986,0.02731183235381925,0.0009186309857732552,0.0246533632754933
7,0.0007928121808822476,0.026523869115021803,0.0008806598624539409,0.02414943106299223
8,0.0007635200449875592,0.026261144983329515,0.0008496687572238274,0.0237308515409051
9,0.000740050650183689,0.02571241424469523,0.0008252940669948192,0.02343175952257805
10,0.0007219390743303784,0.025489111602768417,0.0008068282697972474,0.023230112807521987
11,0.0007084041791053759,0.025125570887656407,0.0007911845248430794,0.023081284271943014
12,0.0006973757801573839,0.024910949837676315,0.0007791471064529316,0.022922795218263948
13,0.0006877405745836422,0.024733227658872457,0.0007676428785618005,0.022788064805574194
14,0.0006782357347790736,0.02477421417774618,0.0007581632345411277,0.022643390627101412
15,0.000670289570564276,0.02463160178212579,0.000749621489816237,0.02254927405697662
16,0.0006639018256845343,0.024458999914485354,0.0007431046894432024,0.02247991468757391
17,0.0006580083894944035,0.024325181070224258,0.000735115158360798,0.022382419157859892
18,0.0006522509227903892,0.02440185564779496,0.0007280955635292759,0.022317263475337693
19,0.000647681309569035,0.02417522511163423,0.000724018138947052,0.022234178204522576
20,0.0006438738548254608,0.02414654149969881,0.00071932693664526,0.022176262970234072
21,0.0006402420299894775,0.023945978172700996,0.0007147757391320802,0.022133439835594144
22,0.0006368607124936399,0.024048548373718594,0.000711383207614512,0.02206107711549415
23,0.0006336247348343925,0.02407006084947854,0.0007087265751811914,0.02201612628563199
24,0.0006293927265426808,0.023729993161824784,0.0007005840333498105,0.021914316185338553
25,0.00062431328451214,0.023701596010274203,0.0006976738685151822,0.021852443618483323
26,0.0006211822980188208,0.02374806384187798,0.0006939705184438851,0.021800147642403147
27,0.0006183654674312619,0.023550338778904705,0.0006906045298904267,0.02174625832934019
28,0.0006154131728392311,0.023522267109432886,0.0006840609210315918,0.02163142719154441
29,0.0006073845077537058,0.023353885238369305,0.0006776261795853633,0.021543091947082864
30,0.0006037507725445474,0.023480193738558496,0.0006741681224179216,0.021495287393241427
31,0.0006009656544720624,0.02340628822702308,0.0006717157035086,0.021447016212136245
32,0.0005986822068297788,0.02336799089702987,0.0006687495091978764,0.021394092619938906
33,0.0005960782458094245,0.023121969372958177,0.0006654074612523018,0.021336333102784877
34,0.0005934493993896298,0.023252595155391582,0.0006628919409068172,0.021295174566465756
35,0.0005914476433003595,0.023027611289953075,0.0006602037588383482,0.021246817682025045
36,0.0005893783139036932,0.023023577009926934,0.0006578980387340104,0.021207399241799534
37,0.0005870223030007567,0.023267165912214175,0.0006556550388733402,0.021167548533615677
38,0.0005852699183674832,0.023135576108398365,0.0006536155831485684,0.021128663676249427
39,0.0005829137339357777,0.02276836451749469,0.0006509020002044434,0.021083501921316913
40,0.0005818928100074851,0.023039249122835868,0.0006491059946372758,0.02105217093905044
41,0.0005798376193306185,0.02288702139558718,0.0006477890897618044,0.021022738031176633
42,0.0005785117747962417,0.022834130597495755,0.0006465085451139224,0.020987039761141288
43,0.000577197715767764,0.022838406137717787,0.0006445275130952427,0.02095488670260407
44,0.0005756033794970663,0.02273273858739886,0.0006439223553887894,0.020929559510807657
45,0.0005748848792692545,0.022974677682789258,0.0006422021118978169,0.02090438815310251
46,0.0005733941553535965,0.022705300664890182,0.000641102226164062,0.0208839944888686
47,0.0005722379633866236,0.02255511813501055,0.0006393896388756328,0.02084818587226923
48,0.0005713131894445942,0.022659282857017925,0.0006380606428476397,0.020825922900680884
49,0.0005698946521995596,0.022671729675674622,0.0006367227241266952,0.02080294054954551
50,0.0005686981228086376,0.02273744559854038,0.0006355405695801385,0.020777453772377136
51,0.0005677802992956225,0.022771949309119306,0.0006344710047584201,0.020764624349079854
52,0.000566667521348974,0.022624592234690984,0.0006334909342153561,0.020755109758397866
53,0.0005657867943171354,0.022488795867724013,0.000631068698211768,0.020701229936161705
