epoch #,Training loss,Validation loss
0,0.0007286782445329608,0.0005986553915268318
1,0.0005575075659788016,0.000540252300825986
2,0.0005325857820835981,0.0005342106150717221
3,0.0005316224752953558,0.000529520862989805
4,0.000525283420176217,0.0005293287694538858
5,0.0005244226189273776,0.0005283840546723116
6,0.0005229548328753674,0.0005286208626983518
7,0.0005228261646221985,0.0005285593342374672
8,0.0005231915927971855,0.00048570515736090866
9,0.0004757356594006221,0.0004788903991522437
10,0.0004734630248311794,0.0004786824227564714
11,0.00047323207512046353,0.00047805450835519214
12,0.00047271553867242553,0.0004779335596090691
13,0.00047714988514781,0.00048142717791382564
14,0.00047491441418727237,0.00047323525438762524
15,0.00046796648452679314,0.0004729694335467436
16,0.0004680291445869388,0.00047294744248078626
17,0.00046781962522954654,0.0004729304926215925
18,0.000468203730655439,0.00047610268695279955
19,0.0004692738022316586,0.00047336319186301395
20,0.00046787032970424855,0.00047294724139977586
21,0.00047163024364095746,0.0004810525445182892
22,0.0004734256107247237,0.0004637754752978005
23,0.000455954193165808,0.0004603743326680904
24,0.0004552862590009516,0.0004601620817133649
25,0.0004551953069414153,0.00046008911851624197
26,0.000455160875889388,0.00046006098749454727
27,0.0004551696753637357,0.0004605539261617444
28,0.0004591604339128191,0.0004658700667575679
29,0.0004560059251433069,0.00045964676040140067
30,0.00045490429256901595,0.0004614970049905506
31,0.00045699618926102464,0.0004614987795833837
32,0.0004616900610201287,0.0005667494698850946
33,0.00045226307393926563,0.00044985443649982865
34,0.00044081200343189816,0.00044558968881822444
35,0.00044308144396001644,0.00044566676951944827
36,0.00043997041316646516,0.0004435974624092606
37,0.00043903459732731184,0.00044416479491205375
38,0.00043871329499013494,0.00044348022286695515
39,0.0004395302906632423,0.00044429637110707433
40,0.0004405807295080387,0.00044391254386441274
41,0.00043915580235647433,0.0004434055686843666
42,0.0004385991204868663,0.0004435863110914149
43,0.00043881688504056495,0.0004435769242065197
44,0.00043864302946762605,0.00044345423007722607
45,0.0004395738841232025,0.0004460866031744941
46,0.00044364049432404115,0.0004583117787048898
47,0.0004416026466272094,0.0004487712757492607
48,0.00043739221798199594,0.00043987976789305156
49,0.00043469536665714147,0.0004392404665916481
50,0.00043476257450652845,0.00044060127534480256
51,0.0004360011796833891,0.00043856313007629733
52,0.0004335430705863418,0.0004382821202108806
53,0.0004335776058336099,0.0004395786372267387
54,0.0004348008093057257,0.00043984910113398326
55,0.0004336479377340187,0.00043783540308306164
56,0.0004333429103999427,0.0004403936153870415
57,0.000434909319900202,0.00042999774027107794
58,0.0004244830260674159,0.00042534544069150633
59,0.0004200736111537977,0.00042472666171802716
60,0.00042016975446180864,0.00042466393460265615
61,0.00042032570098385667,0.000424897140738639
62,0.00042002261249404966,0.0004247338231652975
63,0.000420065481328603,0.000424849450672892
64,0.00042019274390556595,0.0004246710738251832
65,0.0004211097732186317,0.00042875780745155434
66,0.0004211299902561939,0.00042446012058379977
67,0.0004200357716869224,0.0004265147381970151
68,0.00042002401060678744,0.0004248633957467973
69,0.00042024663113283386,0.00042507690906693987
70,0.0004241344691677527,0.00042921897807073864
71,0.00042156251892447473,0.0004251806939613413
72,0.0004195727374066006,0.0004247578483244235
73,0.00041976809738711877,0.00042415406978265805
74,0.00041965675997463137,0.0004241684993559664
75,0.0004195175316523422,0.0004240564333105629
76,0.0004197594357485121,0.0004252316339195452
77,0.0004487662947539127,0.00043820532186972824
78,0.00041366286180687675,0.000414957625114105
79,0.0004100770117207007,0.0004143155641345815
80,0.0004097836098887704,0.0004143893289041113
81,0.00040957634286447003,0.00041417573938484894
82,0.000409389076698007,0.0004139512165618891
83,0.00040958890680110817,0.00041418109702962366
84,0.000409494690145507,0.00041397319577465
85,0.0004093607281419364,0.0004142363729294051
86,0.0004093016530528213,0.00041380098470571365
87,0.0004097945186676401,0.0004211980153129182
88,0.0004100400193622618,0.0004138044627722014
89,0.00040926645210746565,0.00041435974734750663
90,0.0004095878620265108,0.000414075997912071
91,0.00040953850667133475,0.0004143734371543608
92,0.0004132917627240672,0.00041823416990651325
93,0.0004103973162445155,0.00041385624727064915
94,0.0004090919429154107,0.00041396376803856004
95,0.0004094528028685035,0.0004140155635435473
96,0.0004092256027189168,0.0004137345816178078
97,0.000409428643006267,0.00041395830900662326
98,0.00040918741860624514,0.00041372684444385496
99,0.00040959328164656954,0.00041412100598046725
100,0.000410606520419771,0.0004144190632822839
101,0.00040921391027443337,0.00041368583809923043
102,0.0004091586801364566,0.00041401519778777254
103,0.0004095526167163343,0.0004139484132809395
104,0.00040944520034121745,0.00041366225616498427
105,0.0004106131454534603,0.00041315574558790436
106,0.0004088268447102922,0.0004132260856303302
107,0.00040853756801648573,0.00041273834734139117
108,0.00040870824309461045,0.00041792315600270577
109,0.000410005679523403,0.0004128360938788815
110,0.000409317424577294,0.0004123053104955364
111,0.00041574740466294866,0.0004146120102483441
112,0.0004068865566091104,0.00041070286904207684
113,0.000406154743875518,0.0004107181725769558
114,0.00040595835244113746,0.0004105327978984199
115,0.0004060212229237412,0.00041040923742746764
116,0.0004061203554949977,0.000410613356242803
117,0.0004063420244915919,0.0004107731817798181
118,0.0004061171781610359,0.0004105880246921019
119,0.00040597884390841833,0.0004107088574462316
120,0.0004073856283317913,0.00041346924273635854
121,0.0004072415855797854,0.00041076058204370466
122,0.00040981610999865967,0.00041012319291687825
123,0.00040565733374519784,0.00041020560776814817
124,0.00040562419536890404,0.0004100377032194625
125,0.00040568351102146234,0.0004107080907984213
126,0.00040587965737689624,0.0004127409956841306
127,0.0004061047773469578,0.0004102537099441344
128,0.00040550904788754205,0.0004101330333982002
129,0.00040564708976131495,0.0004100882549854842
130,0.00040612043237144295,0.00041018614312633874
131,0.00040569394093119737,0.0004101982196284966
132,0.00040609358646201367,0.0004108738238838586
133,0.0004062711789526723,0.0004108167767778716
134,0.0004057830110418074,0.0004102739454670386
135,0.0004057757523701046,0.00041093766160139986
136,0.0004062493060800162,0.0004107414332049137
137,0.0004120362203455333,0.00041063351069831034
138,0.000405804097200885,0.00041000132385472007
139,0.0004055447516342004,0.00041020934385332193
140,0.0004056601549188296,0.00041001788298176094
141,0.00040791767372777967,0.0004112617654556578
142,0.0004071941662466887,0.00041010819714177736
143,0.0004055167704143307,0.00041002555877308954
