epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.001249856081966601,0.0006321240404057039,196
1,0.0007498093348528657,0.0006073323169053756,193
2,0.0007062806262537934,0.0005545012434767048,187
3,0.0006163795440844804,0.000454217306202726,185
4,0.00046587052069794896,0.00034334099652907863,186
5,0.000341589891572117,0.00026121344988720203,186
6,0.00027641425488097895,0.00023131849133497682,183
7,0.00022958955879084307,0.00019692461963222044,185
8,0.00019767907545062738,0.00016826611323991772,184
9,0.00017618956903257262,0.00016057578873657108,186
10,0.00014851111296451704,0.00014786819360045652,184
11,0.0001340927198737506,0.0001404349116106308,184
12,0.00011428784065563897,0.00014552367997895018,188
13,0.00010084326990559552,0.00011477267208072077,190
14,8.79055949955326e-05,0.00010002569307511833,188
15,8.329852369263188e-05,9.332880270653586e-05,188
16,6.768360741592583e-05,0.00010228472006790715,188
17,5.9307433458615104e-05,8.330980762890025e-05,188
18,5.603606880029403e-05,8.790356758542739e-05,188
19,5.079092024026103e-05,7.620950610655303e-05,189
20,4.5528442605210364e-05,7.878588003808715e-05,191
21,4.132076291371758e-05,7.022656972451965e-05,191
22,3.801400398161049e-05,7.497665377268715e-05,190
23,3.436211333095131e-05,8.615348231977728e-05,192
24,3.3682355927800464e-05,6.973616459362184e-05,191
25,3.320841787254639e-05,7.039467758720874e-05,190
26,3.2924617285475094e-05,6.603276112859057e-05,190
27,3.0093643940804153e-05,6.85358105776591e-05,191
28,2.6456787107637462e-05,6.732611972388075e-05,191
29,3.0009312816325184e-05,7.027109036302469e-05,191
30,3.062773712136058e-05,6.531971832817493e-05,190
31,2.7272533103526952e-05,6.624877351718816e-05,190
32,2.317186525257742e-05,5.98445951592473e-05,190
33,2.3582468057528867e-05,6.408087858207277e-05,190
34,2.2202597543204697e-05,6.252936146420016e-05,191
35,2.414669401710475e-05,6.824163356113339e-05,191
36,2.103079663793796e-05,5.783487057826128e-05,190
37,2.0012000543108836e-05,6.541919585509919e-05,190
38,1.9578077479002185e-05,5.824943935666687e-05,191
39,1.945675322743924e-05,5.8276107233620355e-05,190
40,2.1349978981431506e-05,5.674835599822377e-05,190
41,1.798099606571373e-05,6.190172546212244e-05,192
42,1.9719975504706888e-05,5.945303215085731e-05,190
43,1.631331829466708e-05,5.462372053682781e-05,191
44,1.623353521951343e-05,5.590386951844321e-05,191
45,1.640378594230868e-05,5.498997896465484e-05,190
46,1.6205730194737305e-05,6.145984372867363e-05,192
47,1.5879905708085036e-05,5.197799057746354e-05,192
48,1.6689009271431132e-05,5.835451933625608e-05,191
49,1.586233560515979e-05,5.573711826254496e-05,190
50,1.609377726141814e-05,6.604248916459827e-05,188
51,1.2523634712703245e-05,5.3312500523219544e-05,190
52,1.290196504161539e-05,5.601027233463606e-05,191
53,1.3375788719052004e-05,5.378176899833839e-05,190
54,1.0213116446685526e-05,5.2581443857635545e-05,188
55,1.0401022541963677e-05,5.7899454268253584e-05,188
56,1.1238363956547434e-05,5.222832457610683e-05,188
57,1.0735959437636653e-05,5.317421455101401e-05,188
58,9.641064257148291e-06,5.3850570114000376e-05,189
59,9.327934652570878e-06,5.1810700234424806e-05,190
60,8.242133812278293e-06,5.230891976603161e-05,191
61,9.173913681125113e-06,5.945676166881062e-05,190
62,1.2657070426160186e-05,5.7932520172377936e-05,191
63,8.58677392827374e-06,5.056793842663892e-05,191
64,8.466754193309438e-06,5.4300548678804266e-05,189
65,7.621146626472371e-06,4.764010659632186e-05,189
66,7.2701266502350906e-06,5.581811800725064e-05,189
67,9.633302184951177e-06,4.743322036960318e-05,194
68,7.290129852285113e-06,5.671107667130615e-05,192
69,9.685333981150352e-06,4.675229075611515e-05,192
70,8.81172328062549e-06,4.794635477331968e-05,190
71,5.562207264403413e-06,4.8401882848214096e-05,191
