epoch #,Training loss (MSE)
243,2.1629263444055775e-06
244,2.124581506050714e-06
245,2.1164801292164184e-06
246,2.075119790733328e-06
247,2.064079571358558e-06
248,2.0814122142176283e-06
249,2.034763033131612e-06
250,2.036309695444233e-06
251,2.0214944692490846e-06
252,2.0108727873197166e-06
253,1.9914496286660188e-06
254,1.947579640204133e-06
255,1.916239544980823e-06
256,1.9306446946288677e-06
257,1.9194208143606816e-06
258,1.8823382926959974e-06
259,1.8862343305238137e-06
260,1.8814408565572883e-06
261,1.8922231078332434e-06
262,1.8421168973542411e-06
263,1.8430197902200068e-06
264,1.8149914293727224e-06
265,1.7908892309054807e-06
266,1.808270489494713e-06
267,1.7500078647916587e-06
268,1.748498834207236e-06
269,1.7496275920689875e-06
270,1.7130174844968486e-06
271,1.7058455005925763e-06
272,1.6933408496697665e-06
273,1.6872254117598376e-06
274,1.6808898261512117e-06
275,1.668523794953878e-06
276,1.6532223736992984e-06
277,1.63042133402941e-06
278,1.6115126136906894e-06
279,1.619016260547417e-06
280,1.6017234918101828e-06
281,1.5627137595953228e-06
282,1.5840396372092954e-06
283,1.554472343521025e-06
284,1.5617608358738696e-06
285,1.532884951798637e-06
286,1.5356929701545487e-06
287,1.5081496428110492e-06
288,1.5506478533952208e-06
289,1.514408586238212e-06
290,1.5051125604424504e-06
291,1.4906131323324657e-06
292,1.4511782627034171e-06
293,1.456732628053997e-06
294,1.4507073098105717e-06
295,1.4394160067433514e-06
296,1.4168092569903048e-06
297,1.3854341010356262e-06
298,1.4013947336273057e-06
299,1.392604466452736e-06
