epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.014382334539302185,0.08010247909976531,0.0008951220424510105,0.02745272343501795
1,0.0007293934314087568,0.02597685812633167,0.0006882616731292179,0.022746023791300696
2,0.0006437400360108902,0.023969234947779382,0.0006596547646040563,0.020990305348451054
3,0.0006271627378314301,0.023670520942456037,0.0006454655374190499,0.021397865728236907
4,0.0006184757200508313,0.023376571695327527,0.0006524627102873298,0.022165463160896716
5,0.0006136534748871471,0.02330042410699665,0.0006309868538918699,0.020839546291634092
6,0.0006066050538847353,0.023222059245372927,0.000624046678811198,0.0206159790566321
7,0.0005980861683460963,0.023026128663399884,0.0006191217642735018,0.020151073572247526
8,0.0005893802833531319,0.02284656662869361,0.0006048090643077537,0.020763590498719106
9,0.0005767610151550368,0.022667608821634638,0.0005900374678339874,0.02031894834755465
10,0.000561602865688705,0.022288134569923082,0.0005719268280636454,0.019767184016229802
11,0.0005414511072706583,0.02193541431785092,0.0005490334661370197,0.01998966125728086
12,0.0005107743957629535,0.021277817971138067,0.0005149900889210944,0.01960152783539406
13,0.00046463090202874006,0.020272767107731612,0.0004566472064504714,0.01715070842223805
14,0.0003927820373826043,0.018695020534155903,0.0003637581570094267,0.01633186486528017
15,0.00029784792152282155,0.016259833112676706,0.00025892018564390617,0.013195200517860262
16,0.00020390119567281536,0.01342937193175619,0.00017459566503063353,0.01108564954835835
17,0.0001427297833852349,0.011316204083318165,0.00013169755045457223,0.009584964630952061
18,0.00011351983088134994,0.0101290467743899,0.0001250395312084482,0.010170379204155748
19,0.00010172313598369054,0.009655905215343995,0.00010560055694694774,0.009028564953396833
20,9.661319841531036e-05,0.009448905824864096,0.00010102056804858284,0.008480009173454588
21,9.399488172330308e-05,0.009320282836105356,9.883400521069889e-05,0.008394725878484721
22,9.182969547263093e-05,0.009241671681534065,9.666727777754246e-05,0.00835609256376534
23,8.956200048163201e-05,0.009146603200469137,9.493888530710665e-05,0.008289304086505326
