epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.0023505537090106653,0.000701533954880331,230
1,0.0009415862781412483,0.0006721696235264777,225
2,0.0008501705181967285,0.000639721005122031,223
3,0.000821920747582156,0.000620121833701974,233
4,0.0008083837154855418,0.0006092241130882034,214
5,0.0007953264553529712,0.0005972808772066913,225
6,0.000780495085958652,0.0005829614900082085,222
7,0.0007620457766603653,0.0005648437102149798,218
8,0.0007372293637583514,0.0005384009738133849,219
9,0.0007002885950813917,0.0004999193850038457,218
10,0.0006471024134189828,0.00044757931396090657,218
11,0.0005782429512323148,0.0003861154018131527,220
12,0.0004996697188817433,0.0003339963196251025,218
13,0.0004317370290994983,0.0002832615372471465,220
14,0.00038086137814948766,0.0002500179781251781,218
15,0.0003393120409178359,0.00022775610326803084,219
16,0.0003077273989353537,0.00020291843218756428,219
17,0.0002874223793404164,0.00018678826224290652,218
18,0.0002696199956841741,0.00017438788266208236,218
19,0.00024920358606272253,0.0001640430957012977,220
20,0.0002318912268562529,0.00015048554920134782,218
21,0.00021932676997869373,0.00014238740065519682,220
22,0.0002082815797595711,0.0001530647688547709,219
23,0.00019811082236921427,0.0001262294310606447,216
24,0.00018421482607002625,0.00012328659048248136,216
25,0.00017660036475488825,0.00011524441931837857,218
26,0.00016312264718059972,0.00010374190363999937,220
27,0.0001538915702522817,9.577603365279523e-05,216
28,0.00014567895744800228,8.905418661602262e-05,216
29,0.0001355238865134534,8.766993334478743e-05,218
30,0.00012704190554689956,8.057712855080785e-05,216
31,0.0001185975605141619,7.730643419784934e-05,219
32,0.00011155371602227377,6.658694937569923e-05,217
33,0.00010433372176680518,6.904232029849178e-05,216
34,9.682358470924485e-05,6.089382947687974e-05,217
35,9.165242562840621e-05,5.911053499619488e-05,214
36,8.598833242708075e-05,5.582546417338557e-05,217
37,7.819230050553562e-05,4.9862845192578615e-05,218
38,7.455520081729466e-05,4.742345013370602e-05,216
39,6.825360678131465e-05,6.0069390243900776e-05,212
40,6.508949359063176e-05,3.8450610291354677e-05,212
41,6.0095930001063444e-05,3.549367798185122e-05,214
42,5.971965512506651e-05,3.628007237250615e-05,213
43,5.801045173010626e-05,3.353994299831268e-05,211
44,5.3539615959113044e-05,4.3318832966933324e-05,216
45,5.202321249175934e-05,3.938866356161745e-05,218
46,4.7732707895778145e-05,2.7261834192621106e-05,219
47,4.492039649061031e-05,3.056194043344065e-05,216
48,4.2725025183257445e-05,3.18117511053478e-05,219
49,4.1287064018465536e-05,2.8777124385109576e-05,217
50,4.191622818299973e-05,3.947409522271128e-05,213
51,4.1808757608002575e-05,2.467592006419335e-05,215
52,3.89255172678048e-05,3.0294655403720006e-05,216
53,3.6513711712722035e-05,2.326213543418281e-05,217
54,3.486203465902188e-05,3.2526757027533996e-05,217
55,3.520392223995609e-05,2.8190634849507788e-05,218
56,3.452408215001721e-05,2.2783450398452277e-05,215
57,3.14463837270892e-05,2.2483444301925717e-05,214
58,3.0734369110896484e-05,2.140579445210101e-05,213
59,3.2773496339079706e-05,2.833875515244483e-05,213
60,3.177819179165034e-05,2.0580200753882637e-05,215
61,3.099995339360541e-05,1.832866587838598e-05,213
62,2.9606802651163684e-05,2.544306824927822e-05,215
63,2.8547909325196317e-05,1.774808662646685e-05,214
64,2.8047337649810175e-05,1.95233062245734e-05,215
65,2.7779194774062184e-05,2.042900242129425e-05,215
66,2.8051669312310504e-05,2.191761984395348e-05,218
67,2.798072731362939e-05,1.7004725473665447e-05,216
68,2.542385753169672e-05,1.9358158047302452e-05,216
69,2.5186620659697183e-05,2.0650015359942638e-05,218
70,2.6466855866805213e-05,2.48022827618399e-05,219
71,2.543314571135801e-05,2.2046370438757406e-05,218
72,2.5046986790387762e-05,1.8775803056979892e-05,219
73,2.4474786555942414e-05,1.8598747588830153e-05,216
74,2.449903288331873e-05,1.795559767259573e-05,218
75,2.5957826170537106e-05,1.7980919031366136e-05,216
76,2.2891332099044863e-05,1.6258785909728832e-05,217
77,2.170734039721099e-05,1.8256456950208984e-05,218
78,2.1317113821608035e-05,1.735405330861618e-05,213
79,2.4274894668495973e-05,2.7605294718642914e-05,214
80,2.514597751663011e-05,2.2526650006771353e-05,216
81,2.28775446427338e-05,2.156729748568647e-05,218
82,2.1754943082777465e-05,1.8838451617075444e-05,218
83,2.0389490142864356e-05,1.8395842653456218e-05,215
84,2.2239964281353722e-05,1.731622566638007e-05,218
85,2.0700823230212198e-05,1.6692321366124855e-05,217
86,2.154177378110467e-05,1.4260235457014306e-05,217
87,2.0327016964519782e-05,1.7822585100024854e-05,218
88,1.987102879573578e-05,1.68003403101796e-05,217
89,1.8963697368451686e-05,1.5635203807380652e-05,218
90,1.9143264491592984e-05,1.64739642562029e-05,215
91,2.1639555273720037e-05,1.5265544948182683e-05,217
92,1.939647323537416e-05,1.4162998135214173e-05,217
93,1.955183574069337e-05,1.2479461313894538e-05,218
94,1.9244358681917345e-05,1.890497148502656e-05,218
95,1.7965712546496295e-05,1.4922225729765573e-05,216
96,1.7107866064484974e-05,1.2637782615647e-05,211
97,1.6937304656118987e-05,1.2533254201501035e-05,212
98,1.763608471245808e-05,1.429430027589707e-05,215
99,1.734052019620557e-05,1.3379522598658784e-05,214
100,1.890143874181529e-05,1.788676434421978e-05,216
101,1.849695095856319e-05,1.2572659383588447e-05,216
102,2.0407397635614864e-05,1.4397177047879678e-05,219
103,2.5245244551178922e-05,1.9742444107523785e-05,217
104,1.6723041124198216e-05,1.5356379826651373e-05,221
105,1.547011787762175e-05,1.1431494798463588e-05,219
106,1.4971239560528356e-05,1.2125092543159196e-05,219
107,1.526060382879528e-05,1.1690372455720059e-05,215
108,1.5133428739439175e-05,1.460355373055911e-05,214
109,1.5696320912541847e-05,1.2095190907993222e-05,216
110,1.5267694732858117e-05,1.3287143542170097e-05,218
111,1.4245056009058062e-05,1.2327031642688421e-05,217
112,1.4785606622894561e-05,1.6192356460583863e-05,218
113,1.5514798038706292e-05,1.2410684326016343e-05,218
114,1.3534786350672195e-05,1.2936961389425588e-05,221
115,1.377289326565578e-05,1.1012537073697677e-05,215
116,1.4338824359481907e-05,1.283485129781982e-05,215
117,1.5333238199953204e-05,1.4421316232253453e-05,216
118,1.4874684760022185e-05,1.0339003392037336e-05,217
119,1.3130950694201576e-05,1.253016833780772e-05,217
120,1.2966948981391562e-05,1.043366361231871e-05,219
121,1.2666383567180686e-05,9.435274527413564e-06,218
122,1.2614067778307977e-05,1.0483880899034826e-05,220
123,1.2942606133095012e-05,1.0345395790818109e-05,215
124,1.433859718296965e-05,1.4663815951294607e-05,219
125,1.4666622175698306e-05,9.515511297141532e-06,220
126,1.4579242643948247e-05,1.473886791195065e-05,218
127,1.5126235272358431e-05,1.1229505913400849e-05,217
128,1.7718430273715158e-05,1.0948765756963196e-05,218
129,5.290581739118479e-05,2.5950347647889508e-05,220
130,3.1538771324633486e-05,1.7075924824442544e-05,218
