epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.014245850965380669,0.9809428133773382,167
1,1.3613319396972656,0.013948207720394042,148
2,0.01569821871817112,0.003119679841715726,140
3,0.008867417462170124,0.006434085623727713,139
4,0.013609168119728565,0.007773352625424508,140
5,0.015216905623674393,0.008368965099754174,139
6,0.015775540843605995,0.008439560920986059,140
7,0.015653979033231735,0.008025105300004692,139
8,0.014928566291928291,0.00715242054716305,139
9,0.013678710907697678,0.005917654365332572,139
10,0.012111509218811989,0.004608677907709835,140
11,0.010716037824749947,0.003811806130693789,139
12,0.010398633778095245,0.0033119484781498967,140
13,0.0099688321352005,0.0027362043530315874,141
14,0.008493572473526001,0.002485418807441956,142
15,0.0066164592280983925,0.0030819976781822763,142
16,0.005107361823320389,0.004065500483547173,142
17,0.004298840649425983,0.0048314063836985876,142
18,0.004426166415214539,0.004376165948551587,142
19,0.004624461755156517,0.003306633150301974,142
20,0.004510350991040468,0.0024163383091731373,142
21,0.004403402097523212,0.0020872334827687074,142
22,0.004302558489143848,0.0021092663828534298,142
23,0.004129370674490929,0.002282458351735132,142
24,0.0040189363062381744,0.0025834917484411778,142
25,0.004082264378666878,0.002795671068446717,142
26,0.004151000641286373,0.002762013727769014,142
27,0.004064628388732672,0.0025744554735627548,142
28,0.003919794224202633,0.0023987630636740885,142
29,0.0038494900800287724,0.002316357361101378,141
30,0.003851867513731122,0.00233176383465567,142
31,0.003845179220661521,0.0024351269155498947,141
32,0.003796888515353203,0.002621064904091766,142
33,0.0037450494710355997,0.0028554150121991337,141
34,0.0037407956551760435,0.003047543141092342,141
35,0.0037724829744547606,0.0030978876225972235,141
36,0.003778827143833041,0.0029926004881479194,141
37,0.0037421949673444033,0.0028136313871733065,141
38,0.0037076445296406746,0.0026561717107037495,142
39,0.003705912735313177,0.002569446954858918,142
40,0.0037143793888390064,0.0025618673182699857,142
41,0.003703232854604721,0.002625949607646021,142
42,0.003673213766887784,0.002739064011774399,142
43,0.003649176796898246,0.002852937707142462,142
44,0.003643214236944914,0.002903498409715267,142
45,0.0036405662540346384,0.0028557610330028015,142
46,0.0036216950975358486,0.002734610679277521,142
47,0.003595218760892749,0.002599167087214212,142
48,0.003580407239496708,0.002497649315547447,142
49,0.0035763224586844444,0.00244987226158698,142
50,0.0035668376367539167,0.002454147764502355,142
51,0.0035461587831377983,0.002493717675950639,141
52,0.0035246966872364283,0.002536596868522117,140
53,0.0035098532680422068,0.0025450000029092557,140
54,0.0034947809763252735,0.0024999575316429156,141
55,0.0034712001215666533,0.002417468333834284,141
56,0.0034441063180565834,0.0023327913649302634,140
57,0.0034215592313557863,0.002275101301718286,141
58,0.00340090855024755,0.0022544957680173693,140
59,0.0033744405955076218,0.0022635085418476306,140
60,0.0033435181248933077,0.0022804517603808062,140
61,0.0033141816966235638,0.002277476177025991,140
62,0.003283585887402296,0.0022405987383228012,140
63,0.003247984917834401,0.0021824215425232047,140
64,0.0032106831204146147,0.002128156491502153,141
65,0.003172806464135647,0.0020949049115133473,141
66,0.0031303123105317354,0.00208340147012311,142
67,0.003082383656874299,0.0020777337454166377,141
68,0.0030326428823173046,0.0020558682610067776,141
69,0.002975362353026867,0.0020099869070554052,141
70,0.0029096684884279966,0.0019584578688396728,141
71,0.0028373778332024813,0.0019199156896411876,141
72,0.002765283454209566,0.001896814883108984,141
