epoch #,Training loss (MSE),Validation loss (MSE),epoch_time (seconds)
0,0.001509838564230538,0.0011583557861356542,0
1,0.00018745480981235187,0.0008443763722747234,0
2,9.673617078167408e-05,0.0006493693556309084,0
3,6.0193033614934124e-05,0.0005246868520928891,0
4,3.885498868041351e-05,0.00043162378565375837,0
5,2.4730637069740445e-05,0.0003661917131138452,0
6,1.6096116443982393e-05,0.0003295135174763862,0
7,1.0811359580191315e-05,0.00030900386400341815,0
8,7.948140639378037e-06,0.00029111621235600556,0
9,6.168925428272171e-06,0.0002838499964423352,0
10,4.696549117286894e-06,0.0002776518190690683,0
11,3.949520533063971e-06,0.00027334687527816906,0
12,3.389951676448307e-06,0.0002631183669480978,0
13,2.9074301577255514e-06,0.0002659242807340699,0
14,2.5132206881208708e-06,0.0002523786136022461,0
15,3.0235202713101457e-06,0.0002627548480892225,0
16,2.1491143297680536e-06,0.00025631079648536805,0
17,1.7950136584769962e-06,0.0002512137180980031,0
18,1.7232050711244505e-06,0.0002561875649665432,0
19,1.4930672116905753e-06,0.0002490420298529897,0
20,1.4890904349602174e-06,0.0002491082043110156,0
21,1.3558274823237031e-06,0.00024552245415627186,0
22,1.2947506784590454e-06,0.0002464111344254484,0
23,1.2063785205588452e-06,0.00024295360880211553,0
24,1.25190286292686e-06,0.00024484909413585986,0
25,1.1152260946423999e-06,0.00023829532102971813,0
26,1.12256464662118e-06,0.00023642778677502972,0
27,1.1283509535110725e-06,0.00023297491730358,0
28,1.1064576355926053e-06,0.00023340313486880775,0
29,1.0766832458945673e-06,0.00023214559566422336,0
30,1.0157661044902897e-06,0.0002318376334207801,0
31,9.116151469664523e-07,0.00023097501792136084,0
32,8.987393903780463e-07,0.000232835435843879,0
33,9.225778024678797e-07,0.00023193329122689983,0
34,9.159370536164671e-07,0.0002315803215384863,0
35,8.845570341802114e-07,0.00022954340544915263,0
36,8.749414443139735e-07,0.0002224556325880492,0
37,8.604984713002057e-07,0.00022081411920314302,0
38,9.203680238209838e-07,0.00021545154660821666,0
39,1.0655391708784985e-06,0.00022283093765311125,0
40,8.439592376384453e-07,0.0002207259146974608,0
41,7.697220828448757e-07,0.00021648741495149424,0
42,9.425952347688818e-07,0.0002195753028430438,0
43,7.865942666007979e-07,0.00021882457231771823,0
44,7.778337390934722e-07,0.00021841849371669923,0
45,7.568964249679905e-07,0.00021697528582666692,0
46,7.371793363501372e-07,0.0002209497736781686,0
