epoch #,Training loss (MSE),Validation loss (MSE)
0,0.0003583272251196445,3.919666266566227e-05
1,2.3899684902227654e-05,1.4242542456486262e-05
2,1.0045363995287158e-05,7.943058699311223e-06
3,6.153236084201401e-06,5.34098188257882e-06
4,4.366758923424641e-06,3.551312575754392e-06
5,3.130369671425521e-06,2.704120310723242e-06
6,2.274119025087478e-06,2.5916480849859496e-06
7,1.8960882099980319e-06,1.932126396737162e-06
8,1.5840043843954018e-06,1.5441077994182706e-06
9,1.3988340662597858e-06,1.4526033506130758e-06
10,1.3120120541619446e-06,1.1797119253225735e-06
11,1.1552280594983268e-06,1.1952346912122183e-06
12,1.0247315630377588e-06,9.805043237065547e-07
13,9.666780679942872e-07,9.182415458946542e-07
14,9.100015804506256e-07,8.967217021646237e-07
15,8.187404064714924e-07,1.1280521316207756e-06
16,8.176681540824189e-07,7.92140243468318e-07
17,7.267005408500678e-07,6.901711412865552e-07
18,6.872604166015993e-07,7.565350558086886e-07
19,5.841485701349677e-07,9.740666899398837e-07
20,6.099635333515779e-07,5.442912063038173e-07
21,5.745059052198044e-07,5.480994683053226e-07
22,5.763074456643319e-07,6.301616069363676e-07
23,5.118631058366824e-07,7.793292896125918e-07
24,6.19508584363895e-07,5.179091976970085e-07
25,5.185313386777345e-07,6.179889174456383e-07
26,5.586706756041553e-07,1.4119575587301369e-06
27,5.606581492594903e-07,5.131415248756225e-07
28,6.348135288218063e-07,5.155104363232319e-07
29,6.536137999512103e-07,7.77316820817346e-07
30,6.402345610915676e-07,8.444524507922324e-07
31,5.614080117525053e-07,4.351140060262796e-07
32,3.8454878192555265e-07,4.4214416479090603e-07
33,3.7078625955749e-07,4.1192991323607037e-07
34,1.2456319837479952e-06,2.4127823851151994e-06
35,6.358821780546956e-07,2.9629640421675997e-07
36,3.155829003637998e-07,2.7851693511655124e-07
37,3.636991116171416e-07,3.802519652977439e-07
38,3.958143861657873e-07,4.6072324184106863e-07
39,3.9422916474353716e-07,2.731219278860987e-07
40,4.579177337732152e-07,5.231588754254931e-07
41,8.436070877520031e-07,1.0376907917733743e-06
42,3.5682695547758626e-07,2.714758415901418e-07
43,3.1069039134005533e-07,2.410897088690366e-07
44,3.4048558911143284e-07,1.1888038567452564e-06
45,4.4818374949913547e-07,3.158286194155318e-07
46,5.08200234889955e-07,6.934448342897006e-07
47,3.1205424427711973e-07,2.422994819281402e-07
48,3.6349719906328654e-07,3.193570212674372e-07
49,3.1414984206287155e-07,4.784298790706419e-07
50,3.8983371108990853e-07,4.7506834872282607e-07
51,3.01347274137587e-07,2.512482160971724e-07
52,2.993977319061797e-07,4.1624228184776837e-07
53,5.382055379124557e-07,3.723382356342468e-07
54,3.464965511773588e-07,1.9991335134053853e-07
55,2.073872316707297e-07,4.0473878718991977e-07
56,3.4658090846802004e-07,2.496219943023706e-07
57,2.4983111670666623e-07,2.034919722084603e-07
58,2.7529455241110005e-07,5.402110292090418e-07
59,4.637700177695616e-07,4.48595294632138e-07
60,4.66123997922075e-07,1.659959451671966e-07
61,1.7718824996005754e-07,2.6366726667054703e-07
62,3.8005988131551545e-07,2.5354735276488845e-07
63,2.0877179164210356e-07,2.6797987056232326e-07
64,4.776747909311257e-07,4.0793709362415854e-07
65,2.512673953870862e-07,3.013750759609221e-07
66,3.6285276976769003e-07,2.355485157905109e-07
67,5.012082689945325e-07,3.245205517611215e-07
68,1.7644471145241838e-07,1.7858492361194127e-07
69,2.3527986408308523e-07,4.968981713463192e-07
70,9.410024899738566e-07,3.215378528797043e-07
71,1.7616364492699756e-07,1.7528333777570219e-07
72,1.6051269492298603e-07,1.5467067307574987e-07
73,2.6092204224727484e-07,1.0082975671304502e-06
74,3.836087913255555e-07,1.1807693713773337e-07
75,1.8829335811970493e-07,2.0554232104462824e-07
76,3.640320458916077e-07,1.4462401958842913e-07
77,1.718637628059558e-07,1.2417739823562937e-07
78,2.1602661482836882e-07,1.3097558687553084e-07
79,1.8868317039105574e-07,1.4169246464296687e-07
80,1.7335482626742414e-07,4.3527314139944133e-07
81,3.6205442782058086e-07,1.361025820239609e-07
82,2.854292282167438e-07,1.1531047263702022e-07
83,2.431751771506573e-07,4.658000007525102e-07
84,2.1699255027022336e-07,1.4196157252399644e-07
85,5.140800320622007e-07,2.881833810358165e-07
86,2.3506201485147496e-07,1.5561155163626692e-07
87,1.414137568369342e-07,1.6214024485221174e-07
88,2.410047428921561e-07,1.362890171983302e-07
89,2.1134426551863285e-07,4.841366597412906e-07
90,2.4087430646239117e-07,1.2211309309991108e-07
91,1.8462910040198315e-07,1.4643935941194286e-07
92,1.0942239900872885e-07,1.3579288610737256e-07
93,1.908049389264692e-07,2.4881775826460483e-07
94,2.31435040918217e-07,1.4541216537302468e-07
95,1.460932455825748e-07,2.138331945450938e-07
96,1.9431863867422099e-07,2.0757781257429997e-07
97,2.280137467571628e-07,3.277460707935957e-07
98,2.984133534964988e-07,2.4533106821681116e-07
99,2.9795557055201764e-07,4.449873111670141e-07
100,6.590891692240169e-07,3.404076382325498e-07
101,1.3031850994076938e-07,1.410099364627306e-07
102,2.818630383844169e-07,2.44857999870295e-07
103,9.788210910631857e-08,1.7706160107877622e-07
104,1.2942638241583787e-07,8.013919814299118e-08
105,1.3258377020630372e-07,9.364126552472126e-08
106,5.208560801017456e-07,1.4834944331389786e-07
107,1.3449157573101427e-07,9.327584944106672e-08
108,1.4162098563192006e-07,8.503221255037632e-08
109,1.9137903505376621e-07,2.3393739416571243e-07
110,2.2505943248881632e-07,1.3472344952767593e-07
111,1.6965582178865147e-07,1.2000117372033194e-07
112,3.102985000809481e-07,1.3552412063042786e-07
113,1.336181023747706e-07,1.5448266935891296e-07
114,8.387060720486151e-08,9.450288455458246e-08
115,1.1610141931906913e-07,8.848322173869085e-08
116,2.42915190449022e-07,1.1980133528120197e-07
117,1.396830909994385e-07,1.7639399831378714e-07
118,8.061035688687105e-07,2.4167819865603883e-07
119,1.1564443158559615e-07,8.288215189560849e-08
120,1.8220132489494228e-07,2.2409052136977565e-07
