epoch #,Training loss (MSE),Validation loss (MSE)
0,0.005619177212092009,0.000752272635370239
1,0.0007485669538604491,0.0007467851434326307
2,0.000745375905157716,0.0007409075462650931
3,0.0007379499240637277,0.000733409433874344
4,0.0007357788740685492,0.0007252193210561845
5,0.0007253943486139179,0.0007177520246742378
6,0.0007155173296588614,0.0007227894104752605
7,0.0007022158372300592,0.0006980242126684805
8,0.0006849276009156848,0.0006698717532510108
9,0.0006653560878652515,0.0006488949266283519
10,0.0006356392046436667,0.0006170372338436375
11,0.0006033400461698572,0.0005791492415168746
12,0.0005624371234779105,0.0005420196960436773
13,0.0005113024715207178,0.00048061320574065164
14,0.00045712880541880923,0.0004289280934211671
15,0.0004056229752022773,0.0003772429549479222
16,0.0003586120929808892,0.00033569140992106193
17,0.0003176123412170758,0.00030636738358721645
18,0.0002878025605935942,0.0002794592557422055
19,0.0002690600137452059,0.0002571919467829337
20,0.00025536623686396825,0.00024822438854078593
21,0.0002456672223157842,0.0002378729430281303
22,0.0002400748912971749,0.00023880873248510233
23,0.00023526251853344906,0.00023456501933238045
24,0.0002319275794663664,0.00023527239240303806
25,0.00023038112807482707,0.00023668003351882692
26,0.0002280293937673736,0.0002240632790860466
27,0.00022677740142116267,0.00022990372180092063
28,0.00022818418771423625,0.000224474954593461
29,0.00022432312286092024,0.00022297618990044362
30,0.00022422966485574955,0.00022008627690163187
31,0.0002266651099745297,0.00022062633211713877
32,0.00022278816894994992,0.00022040425013983623
33,0.00022025354025941908,0.00021837766041492366
34,0.00022400819565959726,0.00022325526302500458
35,0.0002200759320421088,0.0002198642993409356
36,0.00022488912968599998,0.0002268893522242169
37,0.0002204218695829199,0.00022054991854185407
38,0.00021852154428647324,0.00021486585181926124
39,0.00022002506572541526,0.00021635440093549816
40,0.00021793469679400775,0.0002295045949391682
41,0.00021753399369349194,0.00022967309855051677
42,0.00021735275885316008,0.00021623457882511007
43,0.00021868361269871732,0.0002150725553986955
44,0.00021721429194704713,0.00021707610586996784
45,0.0002188892307317336,0.00021686537126449615
46,0.00021577448322734034,0.00021907200473254886
47,0.000216849836153966,0.00022350131332958965
48,0.00021737981054607326,0.00022157666220499033
49,0.00021443534499937387,0.0002154812114630741
50,0.0002183986374910808,0.0002133209120207043
51,0.00021427733295554803,0.00021694125242488967
52,0.00021865785061946194,0.00021427108613848264
53,0.00021326961621613891,0.00020976089828764088
54,0.00021223505344382967,0.00022309017869040623
55,0.0002169466810865384,0.00021311715594492852
56,0.00021474369421996403,0.00021651078237151854
57,0.00021398791159982935,0.00021327774016588756
58,0.00021626172277540196,0.0002130338160813236
59,0.00021126072061473898,0.00021212800294795835
60,0.0002146640176052284,0.00022511820117043416
61,0.00021432617505673658,0.00020902874374190684
62,0.00021345961771933645,0.00021140785940753466
63,0.0002159124998919045,0.00022109263359611347
64,0.0002142270142776948,0.0002126112469969402
65,0.00021287487623295888,0.00021057153028033844
66,0.00021101911182543545,0.00020938650375517849
67,0.00021129938302505197,0.00021082810980839315
68,0.00021210933815349233,0.00021539494350938845
69,0.00021122339140680252,0.0002138910848390713
70,0.00020942106931188116,0.00021115817814874887
71,0.0002111913484281324,0.000212682686873119
72,0.00020868610555418966,0.00021207024359186605
73,0.00020849405465450026,0.00021093755412783305
74,0.00021395451340217595,0.00020429006089795043
75,0.00021029237260209452,0.00021822066477563402
76,0.00021219676492425303,0.00020589049889663743
77,0.00020689693424201598,0.00020810675383968786
78,0.0002110289920678814,0.00020588185294234955
79,0.00020663722388968437,0.00020670735295756127
80,0.00020620516375074107,0.00020322420318155888
81,0.00020651158334151137,0.0002089878062013833
82,0.00020664614022032103,0.00020357651231196625
83,0.00020665613975319447,0.00020312188775278628
84,0.000205284469725677,0.0002072149252688343
85,0.0002081201470943845,0.00020418347192885863
86,0.00020342745642516424,0.0002002345054907809
87,0.00020669599480672992,0.00022294676619243216
88,0.00020608841038704143,0.0002088117283578454
89,0.0002031917814377018,0.0002017782340408303
90,0.0002028930180099313,0.0002017962427238341
91,0.00020343719207625271,0.00020520122441336174
92,0.00020275697345619625,0.00021463614554456648
93,0.00020569551574546054,0.00020289029828166928
94,0.0002052157399505659,0.00019856115963193588
95,0.00019997479188411187,0.00019864365813026036
96,0.00020200907430174112,0.0002003300523739943
97,0.00020160460706348672,0.00019885330931918526
98,0.00020009658860296688,0.00020179996015609836
99,0.0002030558970432277,0.00020012010777877137
100,0.00019867983055089347,0.0001961423149226572
101,0.00019861480374256093,0.00020245290639154105
102,0.00019875367038713938,0.00019601106900319625
103,0.00019868413083763285,0.00019716171590103345
104,0.00019997017891287353,0.00019539133418055083
105,0.00020065607469895797,0.00019649032857904042
106,0.00019992130343223725,0.00019302739523647521
107,0.0001974808835057598,0.00019363021655325694
108,0.00019458582357390587,0.00019801589427515865
109,0.0001964157868695276,0.0001990902895340696
110,0.00019701432207754502,0.00019574711584771813
111,0.0001939314724859838,0.00019765734508506616
112,0.00019628491558868326,0.00019031030661691064
113,0.00019502810449480558,0.0002046041076854718
114,0.00019537127179897982,0.00019228212913731114
115,0.00019638863211906882,0.0002027993920174512
116,0.0001924985435290375,0.00018979715170148252
117,0.0001924311299279163,0.00019308915925318035
118,0.00019215958807476316,0.0001877398618274707
119,0.00019123101580859812,0.00018887845452726735
