epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.0006571996044015599,0.024147404995999596,0.0005179124706046423,0.01948319288880326
1,0.0004870612913600075,0.021235361594215844,0.0004910351276627152,0.01888073938140689
2,0.0004674195385230759,0.020741279704799487,0.00046891383388060075,0.018443674808584675
3,0.0004524974861879862,0.02049099662478349,0.00046479815352731113,0.018407735198216382
4,0.0004449793822565224,0.0202706112042647,0.00045657850394406504,0.018199639671027314
5,0.00044152409197219337,0.020178591615931933,0.0004523813232163923,0.01812246004660982
6,0.00043880897147721763,0.020172924219175825,0.00045106420064173087,0.018093927143964655
7,0.00043715428316579,0.020122435268072426,0.00044919802110302427,0.018061755991779095
8,0.0004356911959457789,0.020081561824032503,0.0004478554598092667,0.018031685036975283
9,0.0004314375120574291,0.019994787108008713,0.00044116832786405505,0.01790219135149274
10,0.0004262918802174512,0.019836402122046827,0.000437512418533896,0.017823470276672134
11,0.00042392971737954636,0.01983081159116917,0.00043495793365870013,0.017779161451860915
12,0.00041999154575954214,0.019695686006037764,0.00042923320580844434,0.017669613454707488
13,0.00041674351219950575,0.019596678648115127,0.00042870682163358945,0.017658823086382
14,0.000414051174538349,0.019628521799319242,0.00041737541656445057,0.01744227989706709
15,0.00040296570249799774,0.0193522829020959,0.0004125292869672236,0.017336012600639533
16,0.0003879443886049106,0.018964049557238356,0.000393201040897957,0.016948961097270596
17,0.0003789325826462943,0.018709010234492462,0.00038958199219514214,0.01687239198079116
18,0.000377673724469505,0.018694391755690407,0.00038834644888401126,0.016840614579877882
19,0.0003751716906472846,0.018612912661114405,0.00037977269801262465,0.016661243260903066
20,0.00036065611885540197,0.01829038468846517,0.0003677592334159187,0.01639155890944219
21,0.00035542047561359295,0.01811367634380626,0.00036459237576203776,0.016322516727932664
22,0.0003534668549530248,0.018079626153750243,0.00036337320440886056,0.016298479436311956
23,0.0003520038050913898,0.018037929637141004,0.0003617590598159315,0.0162634915520632
24,0.0003506694467898003,0.018000207263831943,0.0003605504721891457,0.016232613653897547
25,0.00034938802179052897,0.017972396141596774,0.0003587705618735717,0.016190308585849612
26,0.0003471415956503966,0.017934239564766717,0.0003544396441209883,0.016100879943778002
