model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp
multivariate_LR_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.781648465124573e-05,0.1880791841611332,0.5492846746762682,0.0005836411,0.011408859,0.0088748755,2514626500000.0,06-07-2023_12-39-30
"multivariate_NN_layers50-500_training_ranges=ti0.15-0.4-ct0.3-0.7_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 500 epochs, lr=0.001)",5.630651060496719e-05,-4.3977900976733535,-2.3306198691466955,0.00018637780158314854,0.008371027186512947,0.0055456385016441345,1736906768384.0,06-07-2023_16-46-55
